 VARIABLE = X , Y , U , V
 ZONE , I=         101 , J=         101
   0.00000000       0.00000000       1.8585635832381034E-009  -4.7189929981976094E-012
   0.00000000       9.99999978E-03  -1.0736101994002401E-009   5.8874238010533646E-007
   0.00000000       1.99999996E-02   3.1969264195671858E-009   1.1665807137073953E-006
   0.00000000       2.99999993E-02  -1.4137461898028558E-009   7.1885334051693473E-007
   0.00000000       3.99999991E-02  -1.1022912213856245E-009   1.5682565153242938E-007
   0.00000000       5.00000007E-02  -3.6656558598928124E-009  -4.4867340253520413E-007
   0.00000000       5.99999987E-02   2.5292569088470559E-009  -1.0073137613858332E-006
   0.00000000       7.00000003E-02  -1.4518262007634631E-009  -1.4130298123752887E-006
   0.00000000       7.99999982E-02  -7.8497784170214373E-010  -1.8252446006286286E-006
   0.00000000       9.00000036E-02  -1.2390260187867573E-009  -2.2048196832144670E-006
   0.00000000      0.100000001      -2.8162608282555296E-009  -2.5925360924546549E-006
   0.00000000      0.109999999       2.2884444629354279E-009  -2.9554154308957932E-006
   0.00000000      0.119999997       4.0914794893901316E-010  -3.2575446587667628E-006
   0.00000000      0.129999995       1.5416774523834781E-009  -3.5589742618793971E-006
   0.00000000      0.140000001       4.2453202734581486E-009  -3.7748413677627617E-006
   0.00000000      0.150000006      -2.4542592896617205E-009  -3.9071514438517600E-006
   0.00000000      0.159999996       9.1369511663992725E-010  -3.9753761144990757E-006
   0.00000000      0.170000002      -2.6875408845416105E-009  -3.8827709555684753E-006
   0.00000000      0.180000007       2.3055957010923282E-009  -3.6986596345887177E-006
   0.00000000      0.189999998      -3.0823513000585885E-011  -3.3348264715234632E-006
   0.00000000      0.200000003       1.6879398442966153E-009  -2.7692917571867860E-006
   0.00000000      0.209999993       6.6625507082883993E-010  -2.0045312765637250E-006
   0.00000000      0.219999999      -1.8569821065947394E-009  -1.0547581217081596E-006
   0.00000000      0.230000004      -2.2324935204900557E-009   6.8966080522588474E-008
   0.00000000      0.239999995      -2.7585357337150811E-010   1.3590487030443273E-006
   0.00000000      0.250000000      -2.7583876824398862E-010   2.7975439098623641E-006
   0.00000000      0.259999990      -3.2583744931976500E-009   4.4744697923854218E-006
   0.00000000      0.270000011       3.4322806093713577E-009   6.2919186540326014E-006
   0.00000000      0.280000001       4.3391728926836368E-009   8.1615576730696719E-006
   0.00000000      0.289999992      -1.4245279393489358E-009   1.0141761377078587E-005
   0.00000000      0.300000012      -3.5672713463629264E-009   1.2237095595422354E-005
   0.00000000      0.310000002      -3.9531199713994338E-009   1.4264064645354715E-005
   0.00000000      0.319999993       3.6280759054936395E-009   1.6188663747754213E-005
   0.00000000      0.330000013       8.9767597419396389E-010   1.8173792462291569E-005
   0.00000000      0.340000004       1.6036254032903313E-009   2.0068531263195303E-005
   0.00000000      0.349999994       2.2713466331437695E-009   2.1729881272003596E-005
   0.00000000      0.360000014       2.0167815209457783E-009   2.3219889392699973E-005
   0.00000000      0.370000005      -3.1580176264029474E-009   2.4512880530408046E-005
   0.00000000      0.379999995       2.3157558992144781E-009   2.5563580462896193E-005
   0.00000000      0.389999986       1.5948727930380203E-009   2.6425904168077332E-005
