 VARIABLE =  step , error
         100   2.2913689343129075E-002
         200   1.4064782462628194E-002
         300   1.0501025264530468E-002
         400   8.5635824340422884E-003
         500   7.3177863113457614E-003
         600   6.4122043981059713E-003
         700   5.7163846941366489E-003
         800   5.1647839956192165E-003
         900   4.7135172461190231E-003
        1000   4.3352895464245471E-003
        1100   4.0130221493383158E-003
        1200   3.7344319674661552E-003
        1300   3.4907401452577789E-003
        1400   3.2754773034404374E-003
        1500   3.0836657496384800E-003
        1600   2.9115102794328340E-003
        1700   2.7560606210994135E-003
        1800   2.6149350828690858E-003
        1900   2.4861111347661172E-003
        2000   2.3680177600019434E-003
        2100   2.2593791687260233E-003
        2200   2.1590392724928080E-003
        2300   2.0660718951631303E-003
        2400   1.9796998354419610E-003
        2500   1.8991967240185412E-003
        2600   1.8240568242556129E-003
        2700   1.7536881219067818E-003
        2800   1.6876115657646540E-003
        2900   1.6255685203183257E-003
        3000   1.5670931878883740E-003
        3100   1.5119170124521688E-003
        3200   1.4598240090942733E-003
        3300   1.3617688037958783E-003
        3400   4.3018435573121544E-004
        3500   3.5719000398513656E-004
        3600   3.1742895996948696E-004
        3700   2.8964302240929145E-004
        3800   2.6820953487652224E-004
        3900   2.5075048260042023E-004
        4000   2.3599553590644440E-004
        4100   2.2322326737642538E-004
        4200   2.1199694261334829E-004
        4300   2.0192451541662244E-004
        4400   1.9262292532374405E-004
        4500   1.8414535155045341E-004
        4600   1.7647449520214562E-004
        4700   1.6945719218098117E-004
        4800   1.6300976726652959E-004
        4900   1.5704924632550235E-004
        5000   1.5150282277156233E-004
        5100   1.4632464633352186E-004
        5200   1.4147361056222914E-004
        5300   1.3684865380832634E-004
        5400   1.3190663288898411E-004
        5500   1.2504105398387545E-004
        5600   1.1547088378996865E-004
        5700   1.0529787994128178E-004
        5800   9.6841450978041291E-005
        5900   9.0465078327351341E-005
        6000   8.5611453487795524E-005
        6100   8.1761240692393580E-005
        6200   7.8576493837029620E-005
        6300   7.5850536004791957E-005
        6400   7.3470678057736775E-005
        6500   7.1349432983905536E-005
        6600   6.9414103727025053E-005
        6700   6.7629913530168652E-005
        6800   6.5970212589809546E-005
        6900   6.4408335514179845E-005
        7000   6.2923331376361092E-005
        7100   6.1514386343871629E-005
        7200   6.0170038362978147E-005
        7300   5.8784660426511315E-005
        7400   5.4475848136080392E-005
        7500   4.2466146953025774E-005
        7600   3.3745217428985220E-005
        7700   3.2645885274691176E-005
        7800   3.4598745278749193E-005
        7900   3.6951785578612536E-005
        8000   3.8988507062627041E-005
        8100   4.0601058552776363E-005
        8200   4.1835469581421180E-005
        8300   4.2749618238747685E-005
        8400   4.3400167708405422E-005
        8500   4.3831631725552384E-005
        8600   4.4077529062292963E-005
        8700   4.4171932416996214E-005
        8800   4.4141811084517708E-005
        8900   4.4006016425557839E-005
        9000   4.3781239765794383E-005
        9100   4.3483061828660352E-005
        9200   4.3130177601408835E-005
        9300   4.2730295003799823E-005
        9400   4.2286612011544919E-005
        9500   4.1811288771475655E-005
        9600   4.1312877095186485E-005
        9700   4.0790876331504915E-005
        9800   4.0252452775075686E-005
        9900   3.9698483044763936E-005
       10000   3.9130847917125191E-005
       10100   3.8572561273194598E-005
       10200   3.8171406401665702E-005
       10300   3.7904479914734351E-005
       10400   3.6551678351807489E-005
       10500   3.3850251945481712E-005
       10600   3.0793347065041204E-005
       10700   2.7934529451130877E-005
       10800   2.5416256900925695E-005
       10900   2.3235972573270350E-005
       11000   2.1348505061280900E-005
       11100   1.9710325094839967E-005
       11200   1.8278319060848620E-005
       11300   1.7017573848861177E-005
       11400   1.5901476274882521E-005
       11500   1.4908930464655132E-005
       11600   1.4020371250096906E-005
       11700   1.3222933958518982E-005
       11800   1.2506677470670827E-005
       11900   1.1862634032924847E-005
       12000   1.1282225001076533E-005
       12100   1.0760129324359678E-005
       12200   1.0292424803652330E-005
       12300   9.8712242494002983E-006
       12400   9.4957129358808817E-006
       12500   9.1607281526167381E-006
       12600   8.8642162615700602E-006
       12700   8.6005792611946231E-006
       12800   8.3684093756969972E-006
       12900   8.1648462083254030E-006
       13000   7.9866167434576817E-006
       13100   7.8336008314718990E-006
       13200   7.7003839809219648E-006
       13300   7.5871596939268965E-006
       13400   7.4909577858435817E-006
       13500   7.4120379653719100E-006
       13600   7.3466770706348931E-006
       13700   7.2956780296366521E-006
       13800   7.2553060161533049E-006
       13900   7.2262305646003116E-006
       14000   7.2067138057842983E-006
       14100   7.1956449444428176E-006
       14200   7.1929901218491358E-006
       14300   7.1973444537010340E-006
       14400   7.2058560250565419E-006
       14500   7.1968293551566530E-006
       14600   7.1143554258797483E-006
       14700   6.9136225617448987E-006
       14800   6.6158741298244800E-006
       14900   6.2767389306813948E-006
       15000   5.9425896966742310E-006
       15100   5.6404386019479721E-006
       15200   5.3775629086623557E-006
       15300   5.1573914152888542E-006
       15400   4.9739041135819615E-006
       15500   4.8207373930392734E-006
       15600   4.6901363611468216E-006
       15700   4.5760570104090227E-006
       15800   4.4729008875189207E-006
       15900   4.3768897587904290E-006
       16000   4.2810559236776864E-006
       16100   4.1843588796667705E-006
       16200   4.0831781365572143E-006
       16300   3.9751702402485882E-006
       16400   3.8596709820272665E-006
       16500   3.7331925696962053E-006
       16600   3.5971868665889713E-006
       16700   3.4477239555059927E-006
       16800   3.2845949818688705E-006
       16900   3.1049119934246425E-006
       17000   2.9055114416638848E-006
       17100   2.6840960974289845E-006
       17200   2.4349765686321044E-006
       17300   2.1603455147701880E-006
       17400   1.8791469048091393E-006
       17500   1.6429683659978100E-006
       17600   1.5001111975099324E-006
       17700   1.4479922022735707E-006
       17800   1.4438677312790785E-006
       17900   1.4481113244630453E-006
       18000   1.4468392356884584E-006
